vendor,plan_code,channel,country_code,status,reason,checked_at,evidence_url,price_kind,amount,currency,cny_estimate,verified_at,price_source
"anthropic","claude-max-5x-monthly","web","TW","regional_checkout_required","公开参考页未提供该地区的结算价，需地区账户或结算页核验","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","","","","","",""
"anthropic","claude-max-5x-monthly","web","US","verified","已从官方页面解析套餐价格","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan","exact","100.000000","USD","671.089313","2026-09-07T07:06:32.308Z","https://support.claude.com/en/articles/11049762-choose-a-claude-plan"
"anthropic","claude-pro-annual","app_store","AU","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/au/app/id6473753684","exact","349.990000","AUD","1691.900338","2026-09-07T07:06:32.308Z","https://apps.apple.com/au/app/id6473753684"
"anthropic","claude-pro-annual","app_store","BR","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/br/app/id6473753684","exact","1299.900000","BRL","1706.664432","2026-09-07T07:06:32.308Z","https://apps.apple.com/br/app/id6473753684"
"anthropic","claude-pro-annual","app_store","CA","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/ca/app/id6473753684","exact","299.990000","CAD","1458.873928","2026-09-07T07:06:32.308Z","https://apps.apple.com/ca/app/id6473753684"
"anthropic","claude-pro-annual","app_store","GB","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/gb/app/id6473753684","exact","199.990000","GBP","1815.876977","2026-09-07T07:06:32.308Z","https://apps.apple.com/gb/app/id6473753684"
"anthropic","claude-pro-annual","app_store","ID","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/id/app/id6473753684","exact","3999000.000000","IDR","1521.747468","2026-09-07T07:06:32.308Z","https://apps.apple.com/id/app/id6473753684"
"anthropic","claude-pro-annual","app_store","IN","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/in/app/id6473753684","exact","19900.000000","INR","1413.340073","2026-09-07T07:06:32.308Z","https://apps.apple.com/in/app/id6473753684"
"anthropic","claude-pro-annual","app_store","JP","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/jp/app/id6473753684","exact","35000.000000","JPY","1503.271105","2026-09-07T07:06:32.308Z","https://apps.apple.com/jp/app/id6473753684"
"anthropic","claude-pro-annual","app_store","PH","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/ph/app/id6473753684","exact","12990.000000","PHP","1391.449294","2026-09-07T07:06:32.308Z","https://apps.apple.com/ph/app/id6473753684"
"anthropic","claude-pro-annual","app_store","SG","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/sg/app/id6473753684","exact","299.980000","SGD","1589.013863","2026-09-07T07:06:32.308Z","https://apps.apple.com/sg/app/id6473753684"
"anthropic","claude-pro-annual","app_store","TR","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/tr/app/id6473753684","exact","11999.990000","TRY","1662.407695","2026-09-07T07:06:32.308Z","https://apps.apple.com/tr/app/id6473753684"
"anthropic","claude-pro-annual","app_store","TW","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/tw/app/id6473753684","exact","6990.000000","TWD","","2026-09-07T07:06:32.308Z","https://apps.apple.com/tw/app/id6473753684"
"anthropic","claude-pro-annual","app_store","US","verified","已解析对应内购项；周期按标准套餐映射，结算时复核","2026-09-07T07:06:32.308Z","https://apps.apple.com/us/app/id6473753684","exact","214.990000","USD","1442.774915","2026-09-07T07:06:32.308Z","https://apps.apple.com/us/app/id6473753684"
"anthropic","claude-pro-annual","google_play","AU","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=AU","","","","","",""
"anthropic","claude-pro-annual","google_play","BR","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=BR","","","","","",""
"anthropic","claude-pro-annual","google_play","CA","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=CA","","","","","",""
"anthropic","claude-pro-annual","google_play","GB","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=GB","","","","","",""
"anthropic","claude-pro-annual","google_play","ID","price_not_public","Google Play 公开应用页不提供可归属到此套餐的内购 SKU 价格，需应用内结算核验","2026-09-07T07:06:32.308Z","https://play.google.com/store/apps/details?id=com.anthropic.claude&hl=en_US&gl=ID","","","","","",""
